cancer_type,AFG3L2,AGK,AIFM1,ARL2,ARMC10,ATAD1,BCL2L13,CASP3,CASP8,CLPB,CLPP,CLPX,DNAJA3,DNAJC11,DNM1L,FIS1,FKBP10,FKBP8,FUNDC1,GRPEL1,HSPD1,HSPE1,HTRA2,IDE,LACTB,LAP3,LONP1,METAP1D,MFN1,MFN2,MIPEP,MTCH2,MTX1,MTX2,NBR1,NIPSNAP1,NIPSNAP2,NLN,NRDC,OPA1,PARK7,PGAM5,PHB,PHB2,PITRM1,PMPCA,PMPCB,RAB24,SAMM50,SLC25A23,SLC25A24,SLC25A4,SLC25A5,SLC25A6,SNAP29,SPIRE1,STOML2,TIMM13,TIMM44,TIMM8A,TIMM9,TOMM20,TOMM22,TOMM34,TOMM40,TOMM5,TOMM6,TOMM7,TOMM70,TRAP1,UQCRC1,UQCRC2,VPS13D
Breast,0.0,0.0,3.4570105177997963,5.789054118488028,0.0,0.0,0.0,1.1786430009097681,0.0,0.0,1.1869622340046486,0.0,0.0,0.0,14.212000053285403,4.6219478930806535,0.0,0.0,0.0,0.0,10.120203143157513,3.6616399241639046,1.0408988348633177,6.778921113035748,1.231882790927836,9.75498564095151,5.436376894326702,0.0,1.0322849075308758,0.0,0.0,0.0,0.0,0.0,1.2973337651379306,2.1692982066441986,0.0,2.402718933313573,2.323143423361881,1.2076655133855048,15.941520512152469,0.0,2.4068974990947063,2.2244549285418214,2.212416218705013,3.2778336678957336,3.5196331804326757,0.0,0.0,0.0,1.1484320046522878,2.4313886359744123,2.5113834098641035,2.4350653840155143,1.1280537033692728,0.0,1.1613933152504035,1.2137989130731044,0.0,1.2257361816399468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.323508866048996,17.257575830557055,2.2089350853750416,2.2909670034008434,0.0
Colorectal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.497953977898927,0.0,0.0,0.0,0.0,0.0,16.45835300614029,0.0,0.0,9.957582862012604,0.0,5.402782565435146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.60655782535567,0.0,0.0,5.184310055635854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.843028727474564,0.0,0.0,0.0
Lung,0.0,2.120322628932217,0.0,2.2310885240250187,0.0,0.0,0.0,6.691806169626967,4.338244054888035,0.0,2.1629967199053484,0.0,0.0,0.0,15.324327586502948,6.443957070422118,2.26025614896078,2.1648907881642883,0.0,0.0,11.28766608898354,4.68701421235879,0.0,6.299048611507372,2.083925742979347,11.531389123906253,0.0,0.0,0.0,0.0,0.0,0.0,2.146022409532835,0.0,0.0,0.0,0.0,2.218740137728409,2.0396357407767574,2.085553965176501,18.47500140089889,4.037388239259657,1.9987035126408923,2.2743626542562336,0.0,4.424203459746028,2.2749429925340716,0.0,0.0,0.0,0.0,2.204344200235541,2.204344200235541,2.204344200235541,0.0,0.0,0.0,3.9661068246317814,0.0,2.1498031488412117,0.0,0.0,0.0,2.225101722881694,0.0,0.0,0.0,0.0,4.635384749415811,20.411348191623297,0.0,0.0,0.0
Normal/Control,1.7728259017789156,0.0,3.507020017108944,5.1628993523651605,0.0,0.0,0.0,2.7771284076677945,0.8351856677125893,0.8363938790570533,1.6865711566908885,0.0,0.0,0.0,8.666343413651614,6.621712060229349,0.8139805330849125,0.0,0.7806488605098407,0.8442044491455454,11.284347244831986,9.562966866659533,0.0,5.237221821430397,0.0,13.997086505255007,2.5813537357979666,0.0,0.0,0.0,0.0,0.7181127937793188,0.0,1.7529866249244848,0.0,1.7696675197437792,2.686792776501738,5.245148088492896,0.0,1.7112078972578366,14.057105669174197,0.0,0.814497299604775,4.287747846677347,1.7446526796135196,4.171515627704506,2.6122611683315737,0.0,0.0,0.0,0.0,7.239607731998814,8.185863213585213,8.185863213585213,0.0,0.0,0.0,2.2416115016497398,0.0,0.9127868856994924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.172683061509491,12.436393680045299,4.345788566750832,3.372336973998997,0.0
Other,0.3530198190536492,0.0,0.7113201807649344,4.950074870961892,0.3657800926668964,0.5892130516347439,0.05535695518481573,2.7051077284279352,0.6716770170012742,0.05814245086501107,0.6912606527939684,0.709827314168305,0.11114227685852825,0.17997362159311106,11.314138637821829,5.630073095638261,1.0391728617329388,0.05918658512025443,0.0,0.41014379985956395,11.229566186150883,3.7293384492066264,0.06673931556930364,3.502175094243994,0.7627474504142321,11.107021724325682,1.5576665400006018,0.06412557643820582,0.06463522738988195,0.17675447762476074,0.053865651391452364,0.6516392880564424,0.19135112082199368,0.7939935909665263,0.0,0.360595133543171,0.2910427582786872,1.2660205428588502,0.3508859101885622,0.7024601571411875,11.427049985505581,0.4928879997944073,3.0520937128859233,3.9121263150087726,0.6084174541526151,2.4282006324862815,1.4851799014744436,0.06099856074074692,0.11970145971814025,0.0592465284485046,0.733819913724758,5.451432164763668,5.992175462864882,5.5226939592370075,0.3620136865134063,0.05903333580551683,0.9486120863410239,0.20284750446736363,0.16888618834756783,0.12581862214730505,0.05892859272328224,0.46336909534670095,0.060128917473915224,0.3788066065983343,0.05521931835830313,0.6706175233559877,0.17437974251478197,0.42262061715455024,3.692626609010156,13.714480478278412,2.457455232016883,1.7101158101834653,0.115848206816275
Pancreatic,0.0,0.0,0.7229753268794642,2.1603158844462897,0.7592169726528509,1.22522770884037,0.678314983715397,3.052763481436262,2.145113674442237,0.0,0.0,0.0,0.0,0.0,6.829519163293082,3.5202716786549515,5.989092542507017,0.0,0.0,0.0,10.973522503311912,8.13097429509779,0.0,2.1092742373563027,0.0,14.091506445025438,0.0,0.0,0.0,0.0,0.0,1.9288316107711703,1.3865659423751737,0.0,0.0,0.6060639517576784,0.0,0.6542214335920313,0.0,0.7214589024426227,9.468825473189945,0.6823814389831185,4.107672422211212,5.484118569034286,0.0,2.0781046506594985,0.6632887985432205,0.716405387840174,0.0,0.0,0.7727025441655218,7.170551640352247,8.769966396960715,8.759763689414946,0.799930604376395,0.0,0.6596545918412785,0.6861536936248895,0.0,0.0,0.0,0.0,0.0,0.0,0.6273001270897566,0.6224490316369554,1.1338255977902325,5.026275537670014,5.14277728127927,11.008277386550873,2.766720183188658,2.6692343147885187,0.0
Patient plasma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.255201128796243,0.0,0.0,0.0,4.167451511218534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.849311837396012,0.0,0.0,0.0,0.0,4.046793486365822,3.851364489597288,0.0,0.0,0.0,0.0,4.596958799144198,4.596958799144198,4.596958799144198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prostate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.928513922785253,0.0,0.0,16.524173971013603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.45033663856767,0.0,0.0,16.34447404452409,0.0,18.469299474380254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.883272153592497,0.0,0.0,16.941885098385345,0.0,0.0,0.0,0.0,16.208640037845388,15.519636820543068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.357957292463187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.012149516014414,0.0,0.0,0.0
