subject_id,AFG3L2,AGK,AIFM1,ARL2,ARMC10,ATAD1,BCL2L13,CASP3,CASP8,CLPB,CLPP,CLPX,DNAJA3,DNAJC11,DNM1L,FIS1,FKBP10,FKBP8,FUNDC1,GRPEL1,HSPD1,HSPE1,HTRA2,IDE,LACTB,LAP3,LONP1,METAP1D,MFN1,MFN2,MIPEP,MTCH2,MTX1,MTX2,NBR1,NIPSNAP1,NIPSNAP2,NLN,NRDC,OPA1,PARK7,PGAM5,PHB,PHB2,PITRM1,PMPCA,PMPCB,RAB24,SAMM50,SLC25A23,SLC25A24,SLC25A4,SLC25A5,SLC25A6,SNAP29,SPIRE1,STOML2,TIMM13,TIMM44,TIMM8A,TIMM9,TOMM20,TOMM22,TOMM34,TOMM40,TOMM5,TOMM6,TOMM7,TOMM70,TRAP1,UQCRC1,UQCRC2,VPS13D,cancer_type
MS151641QE_Bruno_Lyden_MDA-231-BR_YONEDA,0.0,0.0,0.0,17.86459623121907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.987745173763216,16.111497027851996,0.0,0.0,0.0,0.0,17.22936091866397,0.0,0.0,0.0,0.0,16.292603510171674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.379070949615976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.77414904821137,0.0,0.0,0.0,Breast
MS151670QE_Bruno_Lyden_HEK_WT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.486119489409162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.535337869186797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.607224111532517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.952145865271067,0.0,0.0,0.0,Other
MS151670QE_Bruno_Lyden_MDA_WT,0.0,0.0,0.0,16.892841297602622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.89371403265131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.76225745079532,0.0,0.0,0.0,0.0,15.484273612963136,0.0,0.0,0.0,0.0,0.0,19.46000647706896,0.0,0.0,0.0,0.0,0.0,18.55035722469243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.94759405722331,0.0,0.0,0.0,Breast
MS151726QE_Bruno_Lyden_Kelly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.264168161486662,0.0,0.0,18.852326793937564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.462897457335323,0.0,15.305385576734043,15.548119807494036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.659838435532386,16.659838435532386,16.659838435532386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.876116278176887,0.0,0.0,0.0,Other
MS151726QE_Bruno_Lyden_bone_met_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.385502365319816,17.49710607348956,17.099799558847923,0.0,0.0,0.0,0.0,0.0,0.0,16.005312208979152,0.0,20.221163720836568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.241095581714001,0.0,0.0,18.420113593152752,0.0,0.0,15.99485410721605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.514226499817834,22.722005599781763,0.0,0.0,0.0,Other
MS151726QE_Bruno_Lyden_bone_met_5,0.0,0.0,0.0,17.747457771532645,18.0060437170997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.263778548043668,0.0,18.87587526388764,0.0,0.0,0.0,16.449354392328583,0.0,0.0,0.0,0.0,19.9868039764557,0.0,0.0,0.0,16.519947639604588,0.0,0.0,0.0,18.290747453245586,0.0,0.0,0.0,16.488334261071437,0.0,15.094242258261335,18.441002853941104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.686432384070383,18.03578709986261,17.811137326053505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.368464355489873,17.721308246253095,0.0,0.0,16.132629619292477,Other
MS151767QE_Bruno_Lyden_4175_lung_tropic_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.28561817214332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.58989089676518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.550607442251874,0.0,0.0,0.0,Lung
MS151767QE_Bruno_Lyden_4175_lung_tropic_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.411510955631105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.415271899296492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.341431315727693,0.0,0.0,0.0,Lung
MS151767QE_Bruno_Lyden_4175_lung_tropic_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.75601428692415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.54385110499181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.325774852338746,0.0,0.0,0.0,Lung
MS151767QE_Bruno_Lyden_HCT116_liver_tropic_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.56886091314178,0.0,0.0,0.0,0.0,0.0,16.95988699254621,0.0,0.0,16.467900117123648,0.0,16.208347696305438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.72538928607213,0.0,0.0,15.552930166907563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.854399357848035,0.0,0.0,0.0,Colorectal
MS151767QE_Bruno_Lyden_HCT116_liver_tropic_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.48811500101025,0.0,0.0,0.0,0.0,0.0,16.153443586116918,0.0,0.0,13.404848468914164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.767550630013396,0.0,0.0,0.0,Colorectal
MS151767QE_Bruno_Lyden_HCT116_liver_tropic_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.43688601954475,0.0,0.0,0.0,0.0,0.0,16.261728439757743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.094284189994884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.90713619456226,0.0,0.0,0.0,Colorectal
MS151767QE_Bruno_Lyden_MDA_parental_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.433049771603706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.677345714882012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.52777514772319,0.0,0.0,0.0,Breast
MS151767QE_Bruno_Lyden_MDA_parental_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.240154014614667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.60042926505717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.39694133882091,0.0,0.0,0.0,Breast
MS151767QE_Bruno_Lyden_MDA_parental_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.136720125323965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.479902997820083,0.0,0.0,0.0,Breast
MS151767QE_Bruno_Lyden_Yoneda_brain_tropic_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.287051838857224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.13533627363144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4938778307927,0.0,0.0,0.0,Other
MS151767QE_Bruno_Lyden_Yoneda_brain_tropic_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.01248259063796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.51230612184055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.79192753645644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.69701514204345,0.0,0.0,0.0,Other
MS151767QE_Bruno_Lyden_Yoneda_brain_tropic_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.407753683727988,0.0,0.0,0.0,0.0,0.0,0.0,16.244446616508974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0863069184631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.24438290470835,0.0,0.0,0.0,Other
