cancer_type,protein,mean_in,mean_out,fold_change,p_value
Patient plasma,TOMM6,0.0,0.217,-0.217,0.8193479376548582
Colorectal,PHB2,5.184,3.876,1.308,0.8224723675130718
Lung,HSPE1,4.687,4.32,0.367,0.8253897266236917
Pancreatic,UQCRC1,2.767,2.441,0.325,0.8260502456583351
Colorectal,MTX1,0.0,0.296,-0.296,0.8294591127429711
Other,PHB2,3.912,3.793,0.119,0.8296035454019153
Other,CASP3,2.705,2.879,-0.174,0.8397999301086297
Lung,TOMM40,0.0,0.088,-0.088,0.840005377100687
Lung,CLPB,0.0,0.095,-0.095,0.840005377100687
Lung,BCL2L13,0.0,0.092,-0.092,0.840005377100687
Lung,DNAJA3,0.0,0.09,-0.09,0.840005377100687
Lung,VPS13D,0.0,0.093,-0.093,0.840005377100687
Lung,SAMM50,0.0,0.097,-0.097,0.840005377100687
Lung,HTRA2,0.0,0.099,-0.099,0.840005377100687
Lung,RAB24,0.0,0.099,-0.099,0.840005377100687
Lung,MFN1,0.0,0.097,-0.097,0.840005377100687
Breast,MIPEP,0.0,0.044,-0.044,0.8443533356852632
Breast,AGK,0.0,0.05,-0.05,0.8443533356852632
Breast,SLC25A23,0.0,0.049,-0.049,0.8443533356852632
Breast,FUNDC1,0.0,0.046,-0.046,0.8443533356852632
Breast,SPIRE1,0.0,0.049,-0.049,0.8443533356852632
Breast,METAP1D,0.0,0.053,-0.053,0.8443533356852632
Breast,TIMM9,0.0,0.048,-0.048,0.8443533356852632
Breast,TOMM22,0.0,0.049,-0.049,0.8443533356852632
Colorectal,TIMM8A,0.0,0.253,-0.253,0.8461452050888318
Colorectal,TOMM6,0.0,0.216,-0.216,0.8461452050888318
Pancreatic,TOMM5,0.622,0.567,0.055,0.8587843244076946
Patient plasma,TIMM44,0.0,0.135,-0.135,0.8648412574342769
Patient plasma,DNAJC11,0.0,0.143,-0.143,0.8648412574342769
Patient plasma,MFN2,0.0,0.141,-0.141,0.8648412574342769
Breast,UQCRC1,2.209,2.475,-0.266,0.8719241837226128
Breast,FIS1,4.622,5.426,-0.804,0.8751091628952571
Patient plasma,SLC25A6,4.597,5.626,-1.029,0.8789220342718829
Colorectal,TIMM44,0.0,0.134,-0.134,0.8864958840320054
Colorectal,MFN2,0.0,0.14,-0.14,0.8864958840320054
Colorectal,DNAJC11,0.0,0.143,-0.143,0.8864958840320054
Lung,MIPEP,0.0,0.043,-0.043,0.8941538090455805
Lung,TIMM9,0.0,0.048,-0.048,0.8941538090455805
Lung,SPIRE1,0.0,0.048,-0.048,0.8941538090455805
Lung,SLC25A23,0.0,0.048,-0.048,0.8941538090455805
Lung,TOMM22,0.0,0.048,-0.048,0.8941538090455805
Lung,NBR1,0.0,0.056,-0.056,0.8941538090455805
Lung,FUNDC1,0.0,0.045,-0.045,0.8941538090455805
Lung,METAP1D,0.0,0.052,-0.052,0.8941538090455805
Patient plasma,SAMM50,0.0,0.095,-0.095,0.8946087467512559
Patient plasma,TOMM40,0.0,0.087,-0.087,0.8946087467512559
Patient plasma,RAB24,0.0,0.098,-0.098,0.8946087467512559
Patient plasma,VPS13D,0.0,0.092,-0.092,0.8946087467512559
Patient plasma,MFN1,0.0,0.096,-0.096,0.8946087467512559
Patient plasma,HTRA2,0.0,0.098,-0.098,0.8946087467512559
Patient plasma,BCL2L13,0.0,0.091,-0.091,0.8946087467512559
Patient plasma,FKBP8,0.0,0.097,-0.097,0.8946087467512559
Patient plasma,CLPB,0.0,0.094,-0.094,0.8946087467512559
Patient plasma,DNAJA3,0.0,0.089,-0.089,0.8946087467512559
Lung,HSPD1,11.288,11.103,0.184,0.8957163693850203
Normal/Control,MTCH2,0.718,0.683,0.035,0.8999813366063678
Pancreatic,OPA1,0.721,0.803,-0.082,0.9045711223368321
Patient plasma,SLC25A4,4.597,5.406,-0.809,0.9061344327088772
Colorectal,CLPB,0.0,0.094,-0.094,0.913117127749422
Colorectal,FKBP8,0.0,0.096,-0.096,0.913117127749422
Colorectal,HTRA2,0.0,0.098,-0.098,0.913117127749422
Colorectal,MFN1,0.0,0.095,-0.095,0.913117127749422
Colorectal,VPS13D,0.0,0.092,-0.092,0.913117127749422
Colorectal,TOMM40,0.0,0.087,-0.087,0.913117127749422
Colorectal,RAB24,0.0,0.097,-0.097,0.913117127749422
Colorectal,SAMM50,0.0,0.095,-0.095,0.913117127749422
Colorectal,BCL2L13,0.0,0.09,-0.09,0.913117127749422
Colorectal,DNAJA3,0.0,0.088,-0.088,0.913117127749422
Pancreatic,SLC25A24,0.773,0.673,0.1,0.9268766546853503
Patient plasma,TIMM9,0.0,0.047,-0.047,0.9360953909607324
Patient plasma,SPIRE1,0.0,0.047,-0.047,0.9360953909607324
Patient plasma,TOMM22,0.0,0.048,-0.048,0.9360953909607324
Patient plasma,METAP1D,0.0,0.051,-0.051,0.9360953909607324
Patient plasma,SLC25A23,0.0,0.047,-0.047,0.9360953909607324
Patient plasma,MIPEP,0.0,0.043,-0.043,0.9360953909607324
Patient plasma,FUNDC1,0.0,0.045,-0.045,0.9360953909607324
Patient plasma,NBR1,0.0,0.056,-0.056,0.9360953909607324
Patient plasma,AGK,0.0,0.048,-0.048,0.9360953909607324
Colorectal,AGK,0.0,0.048,-0.048,0.9508548138688375
Colorectal,FUNDC1,0.0,0.044,-0.044,0.9508548138688375
Colorectal,SLC25A23,0.0,0.047,-0.047,0.9508548138688375
Colorectal,SPIRE1,0.0,0.047,-0.047,0.9508548138688375
Colorectal,METAP1D,0.0,0.051,-0.051,0.9508548138688375
Colorectal,MIPEP,0.0,0.043,-0.043,0.9508548138688375
Colorectal,NBR1,0.0,0.055,-0.055,0.9508548138688375
Colorectal,TOMM22,0.0,0.048,-0.048,0.9508548138688375
Colorectal,TIMM9,0.0,0.047,-0.047,0.9508548138688375
Other,SLC25A5,5.992,5.972,0.02,0.9542091535547099
Normal/Control,CASP3,2.777,2.74,0.037,0.9569855213013418
Colorectal,HSPD1,16.458,11.062,5.397,0.9582094510516973
Normal/Control,CASP8,0.835,0.819,0.016,0.9830452865485304
Other,UQCRC1,2.457,2.486,-0.029,0.9901181723710324
