cancer_type,protein,mean_in,mean_out,fold_change,p_value
Normal/Control,TIMM8A,0.913,0.212,0.701,0.1638557900302574
Patient plasma,FIS1,0.0,5.453,-5.453,0.1702407873944538
Normal/Control,MTX2,1.753,0.663,1.09,0.17282011259011199
Pancreatic,ATAD1,1.225,0.498,0.727,0.1777891540163561
Normal/Control,UQCRC2,3.372,1.723,1.649,0.1806200274634434
Normal/Control,SLC25A5,8.186,5.856,2.33,0.1950506360758525
Lung,SLC25A5,2.204,6.075,-3.871,0.19703497203504772
Other,ARL2,4.95,3.464,1.486,0.20071123542633318
Colorectal,TRAP1,20.843,13.619,7.224,0.2194277292648794
Normal/Control,PMPCA,4.172,2.528,1.644,0.22044077722247457
Lung,DNM1L,15.324,10.857,4.467,0.22335386794270295
Patient plasma,ARL2,0.0,4.688,-4.688,0.22623871990821143
Lung,SLC25A6,2.204,5.693,-3.488,0.22840791726090415
Colorectal,SLC25A5,0.0,6.039,-6.039,0.23051399844272846
Other,PMPCB,1.485,2.268,-0.783,0.23321199328567221
Normal/Control,CLPP,1.687,0.732,0.955,0.23382607896066077
Colorectal,FIS1,0.0,5.438,-5.438,0.23595654110084474
Pancreatic,IDE,2.109,3.879,-1.77,0.2360800499548743
Other,PMPCA,2.428,3.337,-0.909,0.23777113503808667
Lung,UQCRC1,0.0,2.52,-2.52,0.2389268449852
Lung,LACTB,2.084,0.668,1.415,0.24341783605193745
Breast,SNAP29,1.128,0.355,0.773,0.24534039002973462
Other,NIPSNAP2,0.291,0.716,-0.425,0.2459680977694585
Pancreatic,LAP3,14.092,11.117,2.974,0.2475587774854101
Colorectal,SLC25A6,0.0,5.662,-5.662,0.2528488088284204
Lung,SLC25A4,2.204,5.47,-3.266,0.257138878095285
Normal/Control,OPA1,1.711,0.743,0.968,0.25747286641551315
Normal/Control,IDE,5.237,3.671,1.566,0.2576602333425073
Breast,FKBP10,0.0,1.381,-1.381,0.25778093320293893
Other,TOMM5,0.671,0.199,0.471,0.25972455233819136
Colorectal,SLC25A4,0.0,5.443,-5.443,0.2645951226524714
Pancreatic,CLPP,0.0,0.843,-0.843,0.271709238714546
Normal/Control,SLC25A4,7.24,5.286,1.954,0.273577088874965
Normal/Control,DNM1L,8.666,11.095,-2.429,0.27531984909420815
Lung,CLPP,2.163,0.754,1.409,0.2768706310740786
Patient plasma,TOMM70,0.0,3.897,-3.897,0.28452336560650604
Patient plasma,PHB2,0.0,3.931,-3.931,0.28452336560650604
Patient plasma,IDE,0.0,3.802,-3.802,0.28452336560650604
Other,STOML2,0.949,0.443,0.505,0.28458990973030485
Lung,IDE,6.299,3.701,2.599,0.2872689726583526
Pancreatic,MTX2,0.0,0.778,-0.778,0.2879979593095684
Pancreatic,LACTB,0.0,0.751,-0.751,0.2879979593095684
Normal/Control,STOML2,0.0,0.892,-0.892,0.28882777022006256
Colorectal,ARL2,0.0,4.675,-4.675,0.2957521565229727
Pancreatic,FIS1,3.52,5.528,-2.007,0.2990953588569879
Pancreatic,PITRM1,0.0,0.721,-0.721,0.3054467219673578
Lung,OPA1,2.086,0.768,1.318,0.3061136918747247
Breast,TRAP1,17.258,13.522,3.735,0.3099381410137101
Other,TOMM6,0.174,0.363,-0.188,0.3107805190734485
Pancreatic,TOMM70,5.143,3.759,1.383,0.31252572414160773
Other,PHB,3.052,2.226,0.826,0.31417713398070923
Lung,UQCRC2,0.0,1.858,-1.858,0.317430069750508
Other,CLPB,0.058,0.223,-0.165,0.31798275824768163
Other,BCL2L13,0.055,0.217,-0.162,0.31798275824768163
Other,FKBP8,0.059,0.231,-0.172,0.31798275824768163
Other,RAB24,0.061,0.229,-0.168,0.31798275824768163
Other,HTRA2,0.067,0.208,-0.141,0.3227504654300323
Other,MFN1,0.065,0.206,-0.142,0.3227504654300323
Other,TOMM40,0.055,0.201,-0.146,0.3227504654300323
Pancreatic,PHB2,5.484,3.771,1.713,0.32277148075870976
Other,CLPP,0.691,1.138,-0.447,0.32280374185455485
Other,LAP3,11.107,12.107,-1.0,0.3247058314019352
Breast,CASP3,1.179,2.811,-1.633,0.32665447640296075
Pancreatic,PMPCB,0.663,1.723,-1.06,0.33210988410045883
Normal/Control,LONP1,2.581,1.545,1.036,0.3330162789811566
Colorectal,HSPE1,0.0,4.366,-4.366,0.33321762038295577
Normal/Control,LACTB,0.0,0.742,-0.742,0.33525432468194205
Other,TOMM70,3.693,4.451,-0.758,0.34067864423843275
Breast,PHB2,2.224,3.96,-1.736,0.349920263291118
Normal/Control,TOMM7,0.0,0.714,-0.714,0.3527040645255267
Normal/Control,SLC25A24,0.0,0.72,-0.72,0.3527040645255267
Pancreatic,PHB,4.108,2.788,1.32,0.3535078008177981
Lung,LONP1,0.0,1.641,-1.641,0.35432252946306786
Colorectal,TOMM70,0.0,3.886,-3.886,0.3552034215086519
Other,NRDC,0.351,0.682,-0.331,0.35847505614447295
Breast,TIMM13,1.214,0.504,0.709,0.3595136646481739
Patient plasma,PMPCB,3.851,1.626,2.226,0.3611817822958011
Other,OPA1,0.702,1.151,-0.449,0.36874953985697534
Other,TIMM44,0.169,0.0,0.169,0.3699488652171946
Other,DNAJC11,0.18,0.0,0.18,0.3699488652171946
Other,MFN2,0.177,0.0,0.177,0.3699488652171946
Patient plasma,PHB,0.0,2.91,-2.91,0.373723998333894
Other,DNM1L,11.314,9.633,1.681,0.375758237872308
Breast,CASP8,0.0,0.856,-0.856,0.37679593199902073
Normal/Control,GRPEL1,0.844,0.343,0.502,0.38700825079556267
Pancreatic,CLPX,0.0,0.6,-0.6,0.3896949971723932
Pancreatic,NLN,0.654,1.596,-0.942,0.39117290124398973
Normal/Control,ATAD1,0.0,0.58,-0.58,0.39119725771681946
Normal/Control,TOMM5,0.0,0.605,-0.605,0.39119725771681946
Lung,PMPCA,4.424,2.579,1.845,0.3953237267078673
Normal/Control,PMPCB,2.612,1.593,1.019,0.3957425609769367
Patient plasma,CASP3,0.0,2.773,-2.773,0.3984694594809638
Breast,MTX2,0.0,0.757,-0.757,0.4080170386491181
Breast,MTCH2,0.0,0.715,-0.715,0.4080170386491181
Pancreatic,UQCRC2,2.669,1.754,0.915,0.40841350345411886
Patient plasma,UQCRC1,0.0,2.492,-2.492,0.40881910642191555
Normal/Control,PGAM5,0.0,0.557,-0.557,0.4125234212290093
Pancreatic,NRDC,0.0,0.452,-0.452,0.41536509896236384
Pancreatic,ARMC10,0.759,0.309,0.45,0.4181979446122208
Breast,TOMM7,0.0,0.704,-0.704,0.42490828499568023
Lung,ARL2,2.231,4.691,-2.46,0.42725857538572676
Normal/Control,CLPX,0.0,0.593,-0.593,0.4354759335261278
Colorectal,PHB,0.0,2.902,-2.902,0.4423938400812557
